Reference ID;Client Operation id;Method;Operation State;Status;Initial Amount;Initial Currency;Charged Amount;Charged Currency
019813db229f79d19fde304e6a666673;48780010093442;apm;complete;fail;300;TRY;0;
019813da13517efda1507ca4109383c8;38137010147002;apm;complete;fail;300;TRY;0;
019813d7cc99799f8be069604c26323f;23172010146422;apm;complete;fail;300;TRY;0;
019813d58f0674d7b2390c07481969e6;69666010119592;apm;complete;fail;403;TRY;0;
019813d541937b05b98b04696e0c9917;5035122010248864;apm;complete;fail;300;TRY;0;
019813d2f6077eaf8b29ef960cfd0027;5036581010216204;apm;complete;fail;300;TRY;0;
019813cc12f37a56b4aecef3df5761ce;5002682010211954;apm;complete;fail;300;TRY;0;
019813ca558371a18e9c2994d7449d25;5008309010210824;apm;complete;fail;300;TRY;0;
019813c548cd7b5caf1045184b5dd1a3;66128010121722;apm;complete;fail;300;TRY;0;
019813be30757230b1c5d2a75ecc68e8;32483010145212;apm;complete;fail;300;TRY;0;
019813bdf3c27249929f747c47d67e7c;5026893010216514;apm;complete;fail;300;TRY;0;
019813bbbec37cfcb4f0d74e08d00ab0;5032825010219054;apm;complete;fail;300;TRY;0;
019813bb29197861934dbfb54af90a7d;50350010168502;apm;complete;fail;300;TRY;0;
019813a75b047133916318dbc91c0cb2;5003663010211344;apm;complete;fail;300;TRY;0;
0198139e6930724fb3f97e92fe013852;19284010131262;apm;complete;fail;300;TRY;0;
01981397b4a57b42a34dbb1f32e7c5c9;5029275010218154;apm;complete;fail;400;TRY;0;
0198139511af7a4598ed1e2f313b5126;51322010166382;apm;complete;fail;400;TRY;0;
01981392cbbd7e38b0d4fc18a0ca65d2;81808010178352;apm;complete;fail;100;TRY;0;
0198138cbaea779bae67340716a9dea2;5007746010212824;apm;complete;fail;417;TRY;0;
0198138b23c27351bd768aa89fe27163;90645010178062;apm;complete;fail;300;TRY;0;
019813898e8375329d06ffa6d3065e8a;96061010178262;apm;complete;fail;417;TRY;0;
01981389490d77238fd45d112654f72b;32133010147082;apm;complete;fail;400;TRY;0;
